sku,title,category,unitPrice,costPrice
PL-0187,POTASSIUM PEMGNT 500GMS,Lab Equipment,2300,0
PL-0188,TRIPOD STAND,Lab Equipment,300,0
PL-0189,PYREX BOILING TUBES,Lab Equipment,180,0
PL-0190,RETORT STAND COMPLETE,Lab Equipment,2000,0
PL-0191,ROUND BOTTOMED FLASK,Lab Equipment,800,0
PL-0192,RUBBER STOPPER,Lab Equipment,100,0
PL-0193,SAFETY GOGGLES,Lab Equipment,450,0
PL-0194,SEPARATING FUNNEL,Lab Equipment,1500,0
PL-0195,SILVER PLATE,Lab Equipment,750,0
PL-0196,SLINKY SPRING -1500,Lab Equipment,1500,0
PL-0197,SODIUM CHLORIDE,Lab Equipment,2700,0
PL-0198,SODIUM HYDROXIDE 500GMS,Lab Equipment,1500,0
PL-0199,SPATULA STAINLESS,Lab Equipment,200,0
PL-0200,STEEL METAL PLATE,Lab Equipment,750,0
PL-0201,STOP WATCHES,Lab Equipment,600,0
PL-0202,SULPHURIC ACID2.5L,Lab Equipment,1900,0
PL-0203,SWITCHES,Other,450,0
PL-0204,SYRINGES 10ML,Lab Equipment,50,0
PL-0205,SYRINGES 50ML,Lab Equipment,100,0
PL-0206,TEST TUBE BRUSH,Lab Equipment,100,0
PL-0207,TEST TUBE NORMAL,Lab Equipment,100,0
PL-0208,GLASS BEAKER 500ML,Lab Equipment,600,0
PL-0209,TESTTUBE HOLDERS,Lab Equipment,150,0
PL-0210,TESTTUBE PYREX,Lab Equipment,200,0
PL-0211,TEST TUBE STAND,Lab Equipment,600,0
PL-0212,THISTLE FUNNEL,Lab Equipment,1000,0
PL-0213,TORCH BULB2.5VLTS,Lab Equipment,200,0
PL-0214,TORCH,Other,400,0
PL-0215,U-CONVEX MIRROR,Lab Equipment,350,0
PL-0216,U-LENS HOLDER,Lab Equipment,350,0
PL-0217,UNIVERSAL INDICATOR SOLN,Lab Equipment,2500,0
PL-0218,U-PLANE MIRROR,Lab Equipment,350,0
PL-0219,VISKING TUBING,Lab Equipment,2800,0
PL-0220,VOLTMETER DUAL,Lab Equipment,1500,0
PL-0221,VOLUMETRIC FLASK 1000ML,Lab Equipment,2000,0
PL-0222,VOLUMETRIC FLASK 250ML,Lab Equipment,500,0
PL-0223,VOLUMETRIC FLASK 500ML,Lab Equipment,1000,0
PL-0224,CORK BORER SET,Other,1500,0
PL-0225,STARCH SOLUBLE,Other,1000,0
PL-0226,WATCH GLASS,Other,300,0
PL-0227,WHITE SCREEN,Other,200,0
PL-0228,WIRE GAUZE,Other,300,0
PL-0229,WOODEN SPLINT,Other,600,0
PL-0230,ZINC METAL,Other,1500,0
PL-0231,ZINC OXIDE 500G,Lab Equipment,1200,0
PL-0232,GRANT IN AID,Office Supplies,600,0
PL-0233,LEDGER BK 1Q,Office Supplies,400,0
PL-0234,LEDGER BK 2Q,Office Supplies,500,0
PL-0235,CASH BK 1Q,Office Supplies,370,0
PL-0236,CASH BK 2Q,Office Supplies,500,0
PL-0237,INVENTORY,Office Supplies,450,0
PL-0238,S2,Other,470,0
PL-0239,FEES REGISTER,Office Supplies,400,0
PL-0240,ADMISSION REG,Office Supplies,500,0
PL-0241,VISITORS BOOK,Office Supplies,650,0
PL-0242,SUPPLIES REGISTER,Office Supplies,750,0
PL-0243,CONTRACT AGREEMENT,Office Supplies,2000,0
PL-0244,PAYMENT VOUCHER A4,Office Supplies,2000,0
PL-0245,PAYMENT SCHEDULE,Office Supplies,2000,0
PL-0246,LSO A5,Other,900,0
PL-0247,RECEIPT BOOK A5,Office Supplies,1000,0
PL-0248,LESSON PLAN,Office Supplies,500,0
PL-0249,RECORD OF WORK,Office Supplies,450,0
PL-0250,MARKBOOK 1Q,Office Supplies,370,0
PL-0251,MARKBOOK 2Q,Office Supplies,450,0
PL-0252,SCHEMES OF WRK 1Q,Office Supplies,400,0
PL-0253,SCHEMES OF WRK 2Q,Office Supplies,500,0
PL-0254,TCHERS ATENDNCE REG,Office Supplies,750,0
PL-0255,TCHERS PERMISSION BK,Office Supplies,2000,0
PL-0256,CURRICULUM DESIGNS,Office Supplies,750,0
PL-0257,8X4FT,Other,15000,0
PL-0258,6X4FT,Other,13000,0
PL-0259,5X4FT,Other,10000,0
PL-0260,4X4FT,Other,8000,0
PL-0261,4X3FT,Other,6000,0
PL-0262,NOTICE BOARD,Other,10000,0
PL-0263,SUGGESTION BOX,Other,5000,0
PL-0264,YAMAHA PSR PIANO 378,Other,45000,0
PL-0265,YAMAHA PSR PIANO e473,Other,65000,0
PL-0266,AUDIO MIXER,Other,50000,0
PL-0267,WOODEN,Other,350,0
PL-0268,PLASTIC,Other,650,0
PL-0269,HACO RULER,Stationery,100,0
PL-0270,ORD RULER,Stationery,50,0
PL-0271,ORD SETS,Other,150,0
PL-0272,OXF METALIC,Other,280,0
PL-0273,OXF CLEAR,Other,350,0
PL-0274,FX82MS,Stationery,1700,0
PL-0275,FX82EX,Stationery,2500,0
PL-0276,ORD OFFICE CALC,Other,1500,0
PL-0277,STD SIZE,Other,4500,0
PL-0278,LARGE,Other,5800,0
PL-0279,CUSTOMIZED,Other,6500,0
PL-0280,FLAG STRING,Other,300,0
PL-0281,POLYTHENE PER METRE,Other,150,0
PL-0282,POLYTHENE ROLL,Other,8000,0
PL-0283,BROWN COVERS,Other,30,0
PL-0284,POWDER PAINTS,Art & Craft,550,0
PL-0285,ACRYLIC YARN,Art & Craft,250,0
PL-0286,YARN ROLLS,Art & Craft,500,0
PL-0287,RIBBONS,Art & Craft,500,0
PL-0288,DYE,Other,800,0
PL-0289,PLASTICINE 250GMS,Art & Craft,250,0
PL-0290,PLASTICINE 500GMS,Art & Craft,450,0
PL-0291,FABER CASTEL,Art & Craft,1000,0
PL-0292,CRAYONS ORD,Art & Craft,100,0
PL-0293,VEDA (12 COLORS),Other,250,0
PL-0294,VEDA (8 COLORS),Other,180,0
PL-0295,JUMBO CRAYONS,Art & Craft,600,0
PL-0296,WATER COLORS ORD,Art & Craft,400,0
PL-0297,MARRIE WATER COLORS,Art & Craft,1500,0
PL-0298,EAGLE WATER COLORS,Art & Craft,1200,0
PL-0299,STEEL,Other,12000,0
PL-0300,REGULATORY DOCS,Other,750,0
PL-0301,SERVICE CHARTER,Other,3500,0
PL-0302,SCH DISBURSEMENT CHART,Other,3500,0
PL-0303,ADV OXF DICTIONARY,Reference,2400,0
PL-0304,STUDENT DICTIONARY,Reference,2000,0
PL-0305,KAMUSI TUKI,Reference,1600,0
PL-0306,KAMUSI YA MSINGI,Reference,1500,0
PL-0307,KAMUSI YA KARNE 21,Reference,1600,0
PL-0308,KAMUSI TEULE,Reference,1500,0
PL-0309,CBC ATLAS,Reference,2000,0
PL-0310,GOOD NEWS BIBLE,Reference,1650,0
PL-0311,RSV BIBLE,Reference,1600,0
PL-0312,NIV BIBLE,Reference,2500,0
PL-0313,BIBLIA KISWAHILI,Other,2000,0
PL-0314,VERNACULAR BIBLES,Reference,2000,0
PL-0315,LOG TABLE,Reference,650,0
PL-0316,SMP TABLE,Reference,850,0
PL-0317,WALL MAPS,Reference,3600,0
PL-0318,WALL MAPS ORD,Reference,500,0
PL-0319,WALL CHARTS,Reference,1050,0
PL-0320,PVC GLOBE,Reference,7500,0
PL-0321,ORD GLOBE,Reference,5500,0
PL-0322,PP1-G3,Other,1500,0
PL-0323,GRD4-6,Other,1650,0
PL-0324,GRD 7&8 VOL 1,Other,1900,0
PL-0325,GRD 7&8 VOL 2,Other,1900,0
PL-0326,ASSESMENT BOOKS,Story Book,250,0
PL-0327,TEACHER GUIDES,Story Book,700,0
PL-0328,ABACUS LARGE,Other,3000,0
PL-0329,ABACUS MEDIUM,Other,1500,0
PL-0330,ABACUS SMALL,Other,1000,0
PL-0331,SMALL,Other,700,0
PL-0332,MEDIUM,Other,1200,0
PL-0333,SMALL SET,Other,3500,0
PL-0334,MEDIUM SET,Other,5000,0
PL-0335,LARGE SET,Other,8000,0
PL-0336,SUFURIA HOLDERS,Other,200,0
PL-0337,SUFURIA 55L,Other,10000,0
PL-0338,SUFURIA 70L,Other,20000,0
PL-0339,SUFURIA 90L,Other,25000,0
PL-0340,SUFURIA 100L,Other,35000,0
PL-0341,POTATO PEELER,Other,150,0
PL-0342,GRATER SMALL,Other,250,0
PL-0343,GRATER BIG,Other,500,0
PL-0344,ROLLING PIN&BOARD,Other,600,0
PL-0345,6KG COMPLETE GAS CYLINDER,Lab Equipment,10000,0
PL-0346,13KG COMPLETE GAS CYLINDER,Lab Equipment,20000,0
PL-0347,ACETONE,Lab Equipment,1800,0
PL-0348,ACTIVATED CHARCOAL,Lab Equipment,2000,0
PL-0349,ALUMINUM PLATE,Lab Equipment,750,0
PL-0350,AMMETER,Lab Equipment,1500,0
PL-0351,AMMONIA 2.5L,Lab Equipment,2300,0
PL-0352,BEE HIVE SHELF,Lab Equipment,500,0
PL-0353,BELL JARS,Lab Equipment,2500,0
PL-0354,BI-CONCAVE LENS,Lab Equipment,300,0
PL-0355,BI–CONVEX LENS,Lab Equipment,300,0
PL-0356,BODY ORGANS MODELS,Lab Equipment,2000,0
PL-0357,BOILING FLASKS,Lab Equipment,700,0
PL-0358,BOILING TUBE,Lab Equipment,140,0
PL-0359,BOILING TUBE PYREX,Lab Equipment,200,0
PL-0360,BULB HOLDER,Lab Equipment,250,0
PL-0361,BUNSEN BURNER,Lab Equipment,800,0
PL-0362,BUNSEN PORTABLE/GAS,Lab Equipment,3500,0
PL-0363,BURETTE BRUSH,Lab Equipment,250,0
PL-0364,BURETTE CLIP,Lab Equipment,100,0
PL-0365,BURETTE TEATS,Lab Equipment,300,0
PL-0366,BURETTLE 50ML,Lab Equipment,1400,0
PL-0367,CALCIUM METAL,Lab Equipment,3500,0
PL-0368,CANDLES PKT,Lab Equipment,400,0
PL-0369,CELL HOLDERS,Lab Equipment,350,0
PL-0370,GLASS BEAKER 50ML,Lab Equipment,300,0
PL-0371,GLASS BEAKER 250ML,Lab Equipment,350,0
PL-0372,CHART-HUMAN DIGESTIVE,Other,2000,0
PL-0373,CHARTS-STRUCTURE TEETH,Other,2000,0
PL-0374,CHART-STRUCTURE ATOM,Other,1300,0
PL-0375,COBALT CHLORIDE,Lab Equipment,3000,0
PL-0376,COBALT II CHLORIDE,Lab Equipment,1700,0
PL-0377,COMPLETE RIPPLE TANK,Lab Equipment,30000,0
PL-0378,CONCAVE/CONVEX LENS,Lab Equipment,300,0
PL-0379,CONCAVE/CONVEX MIRROR,Lab Equipment,300,0
PL-0380,CONICAL FLASK 1000ML,Lab Equipment,1000,0
PL-0381,CONICAL FLASK 100ML,Lab Equipment,280,0
PL-0382,CONICAL FLASK 250ML,Lab Equipment,400,0
PL-0383,CONICAL FLASK 500ML,Lab Equipment,750,0
PL-0384,CONNECTING WIRES ROLL,Lab Equipment,1500,0
PL-0385,CONVEX MIRROR,Lab Equipment,300,0
PL-0386,COPPER II NITRATE 250GRMS,Lab Equipment,2400,0
PL-0387,COPPER II SULPHATE,Lab Equipment,1700,0
PL-0388,COPPER PLATE,Lab Equipment,750,0
PL-0389,COTTON WOOL,Other,630,0
PL-0390,COVER SLIPS,Other,300,0
PL-0391,CROCODILE CLIPS,Other,100,0
PL-0392,CRUCIBLE TONGS PAIR,Lab Equipment,300,0
PL-0393,CRUCIBLE WITH LID,Lab Equipment,550,0
PL-0394,DELIVERY TUBE,Other,450,0
PL-0395,DIGITAL BALANCE,Other,13000,0
PL-0396,DIGITAL THERMOMETER,Lab Equipment,1500,0
PL-0397,DISTILATION FLASK SIDE ARM,Lab Equipment,1500,0
PL-0398,DISTILLED WATER 20L,Other,1100,0
PL-0399,DROPPER,Other,200,0
PL-0400,DROPPING FUNNEL,Lab Equipment,1200,0
PL-0401,DRYCELL PAIR,Other,250,0
PL-0402,EBONITE RODS,Other,750,0
PL-0403,ETHANOL 2.5L,Other,2400,0
PL-0404,EURECA CAN,Other,250,0
PL-0405,FILTER FUNNELS,Lab Equipment,150,0
PL-0406,FILTER PAPERS PKT,Other,1100,0
PL-0407,FIRST AID KIT,Other,5500,0
PL-0408,FLAT BOTTOMED FLASK,Lab Equipment,800,0
PL-0409,FRACTIONATING COLUMN,Other,2500,0
PL-0410,GALVANOMETER,Lab Equipment,1500,0
PL-0411,GAS CARTRIDGE,Computers & IT,500,0
PL-0412,GAS JAR WITH LID,Other,850,0
PL-0413,GAS REGULATOR,Other,1500,0
PL-0414,GLASS MARBLES,Other,20,0
PL-0415,GLASS ROD ELECTRICITY,Other,750,0
PL-0416,GLASS RODS,Other,750,0
PL-0417,GLASS STIRRING ROD,Other,100,0
PL-0418,GLOVES ACID PROOF,Lab Equipment,1200,0
PL-0419,GLOVES ORD PKT,Other,1500,0
PL-0420,HAND WHISK,Other,1200,0
PL-0421,HYDROCHLORIC ACID 2.5L,Lab Equipment,2300,0
PL-0422,HYDROGEN PEROXIDE 2.5L,Lab Equipment,2500,0
PL-0423,SPEAKER,Other,25000,0
PL-0424,PRINTER CABLE3M,Computers & IT,1000,0
PL-0425,PRINTER CABLE 5M,Computers & IT,1500,0
PL-0426,1.5M,Other,800,0
PL-0427,3M,Other,1500,0
PL-0428,VGA-HDMI,Computers & IT,1500,0
PL-0429,DISPLAY CABLE,Computers & IT,1500,0
PL-0430,POWER CABLES,Computers & IT,500,0
PL-0431,CLARITY INKS,Computers & IT,300,0
PL-0432,EPSON INKS,Computers & IT,3000,0
PL-0433,TP-LINK,Computers & IT,12000,0
PL-0434,TENDA,Computers & IT,8500,0
PL-0435,SCH BAG,Other,2000,0
PL-0436,LAPTOP BAG,Computers & IT,2500,0
PL-0437,PROJECTOR BAG,Computers & IT,3000,0
PL-0438,COMPLETE TAILORING KIT,Other,4000,0
PL-0439,BOBBIN CASE,Stationery,100,0
PL-0440,SAFETY PINS,Lab Equipment,100,0
PL-0441,SEAM RIPPER,Stationery,150,0
PL-0442,ASSORTED NEEDLES,Stationery,150,0
PL-0443,KNITTING NEEDLES,Stationery,300,0
PL-0444,TAPE MEASURE,Stationery,200,0
PL-0445,SEWING KIT SMALL,Other,500,0
PL-0446,THIMBLE,Stationery,100,0
PL-0447,TRACING WHEEL,Stationery,250,0
PL-0448,TAILORING TAPE,Other,100,0
PL-0449,CROTCHET HOOK,Stationery,150,0
PL-0450,EMBROIDERY PACK,Other,1500,0
PL-0451,KNITTING SMALL,Other,150,0
PL-0452,KNITTING BIG,Other,250,0
PL-0453,SEWING THREAD,Stationery,250,0
PL-0454,ORDINARY SCISSORS,Stationery,500,0
PL-0455,TAILORING STEEL,Other,1500,0
PL-0456,PINKING SHEARS,Stationery,2000,0
PL-0457,DRESSMAKING PINS,Stationery,150,0
PL-0458,NEEDLE CLAMP,Stationery,150,0
PL-0459,LOOM FRAME,Other,1700,0
PL-0460,BUTTONS PKT,Stationery,200,0
PL-0461,PER METRE,Other,200,0
PL-0462,BUTTERFLY,Other,25000,0
PL-0463,IMPORT STAND,Other,35000,0
PL-0464,SINGER STAND,Other,40000,0
PL-0465,LUBRICATING OIL,Other,300,0
PL-0466,HAND SAW,Other,900,0
PL-0467,HAMMER QTY,Other,1000,0
PL-0468,HAMMER ORD,Other,700,0
PL-0469,TRY SQUARE SET,Other,1000,0
PL-0470,CALLIPER MANUAL,Other,2000,0
PL-0471,CALLIPER DIGITAL,Other,3000,0
PL-0472,SPIRIT LEVEL,Other,500,0
PL-0473,SPANNER SET,Other,2500,0
PL-0474,JACKPLANE,Other,2500,0
PL-0475,SCREW DRIVER SET,Other,2200,0
PL-0476,CHISEL SET,Other,900,0
PL-0477,PLUMB BOB,Other,750,0
PL-0478,CARPENTER TAPE,Stationery,800,0
PL-0479,EARMUFFS,Other,850,0
PL-0480,MALLET,Other,600,0
PL-0481,PLIERS,Other,600,0
PL-0482,OVERALL,Other,2500,0
PL-0483,RAKE,Other,750,0
PL-0484,JEMBE,Other,850,0
PL-0485,SPADE,Other,1000,0
PL-0486,PANGA,Other,500,0
PL-0487,SLASHER,Other,650,0
PL-0488,AXE,Other,1500,0
PL-0489,PICK AXE,Other,2000,0
PL-0490,KNAPSACK SPRAYER,Other,3500,0
PL-0491,SECATEURS,Other,1000,0
PL-0492,SICKLE,Other,700,0
PL-0493,WIREMESH,Other,3500,0
PL-0494,HELMETS,Other,1000,0
PL-0495,GUMBOOTS,Other,1300,0
PL-0496,WHEELBARROW,Other,7500,0
PL-0497,WATERING CAN METALLIC,Other,1500,0
PL-0498,WATERING CAN PLASTIC,Other,1000,0
PL-0499,NGOMBE BARBED WIRE,Other,13000,0
PL-0500,6FT,Other,7000,0
PL-0501,8FT,Other,9000,0
